Ein Service des Knowledge-Hubs von Monitor Versorgungsforschung. Täglich automatisiert KI-kuratiert aus PubMed und auf Deutsch übersetzt.

Aufgenommen;Autor;Publiziert am;In PubMed seit;Journal;Jahr;Titel;Fragestellung;Ergebnis;Übertragbarkeit;PMID;PubMed-Link
2026-09-17;Speight J et al.;15.09.2026;16.09.2026;Diabetologia;2026;Diabetes Distress: Evidenzbasierte Leitlinie zur Diagnostik und Therapie;EASD-Leitlinie mit systematischer Evidenzbewertung zu Assessment und Behandlung der emotionalen Belastung (Diabetes Distress) bei Typ-1 und Typ-2-Diabetes im Erwachsenenalter.;"Acht Good-Practice-Statements zum Screening (Routinediskussion psychisches Wohlbefinden, validierte Messtools), für Typ-1-Diabetes: CGM und automatisierte Insulingabe reduzieren Distress; für Typ-2-Diabetes: psychologische und schulische Interventionen wirksam; Empfehlungen basieren auf GRADE-Methodik mit systematischem Review und Metaanalyse.";Europäisches Versorgungssystem, direkt in deutsches DMP integrierbar, Training erforderlich;42744915;https://pubmed.ncbi.nlm.nih.gov/42744915/
2026-09-17;James E et al.;14.09.2026;15.09.2026;Diabetologia;2026;Prävention Typ-2-Diabetes: Bewegungsreaktion differiert nach Glukosestatus;Gepoolte Analyse von 3 RCTs (2150 Personen, bis 48 Monate) zu Effekt strukturierter Lebensstil-Interventionen auf Bewegung und Glukose stratifiziert nach Baseline-Glukose-Phänotyp.;IFG+IGT-Gruppe: Intervention erhöhte Schritte um 808/Tag (95%-KI 402–1213) mit 2-h-Glukose-Senkung –0,5 mmol/L (p=0,001). Reine IFG-Gruppe nicht responsiv (71 Schritte, KI –429–571, n.s.). Normoglykämie und IGT-Gruppen zeigten intermediäre Effekte. Heterogene Baseline-Bewegungsmengen. Schluss: Klinische Wirksamkeit von Diabetes-Präventions-Programmen differiert nach Glykämiestatus.;"Großbritannien/NIHR; Implikation: Interventionen müssen nach Phänotyp tailored werden";42736402;https://pubmed.ncbi.nlm.nih.gov/42736402/
2026-09-17;Badenschier F et al.;10.07.2026;03.09.2026;Dtsch Arztebl Int;2026;Diabetes und Diphtherie durch Corynebacterium ulcerans: deutsches Risiko-Register 2017–2022;Analyse des intensivierten Diphtherie-Surveillance-Systems (RKI) zur Assoziation zwischen Diabetes mellitus und invasivem C.-ulcerans-Infekt (Diphtherie) in Deutschland.;"Gesamtzeitraum: 8 Fälle C.-ulcerans-Diphtherie. Diabetes mellitus und Haustierkontakt waren signifikante Risikofaktoren. Diabetiker zeigten erhöhte Prädisposition für schwere Infektionen. Daten aus deutschem Surveillance-System belegen epidemiologische Assoziation; Impfstatus und Management bei Diabetikern unterrepräsentiert.";"Deutsche Routinedaten RKI-Surveillance; direkter Anwendungsbezug für Diabetologen bei Impfempfehlungen";42687590;https://pubmed.ncbi.nlm.nih.gov/42687590/
2026-09-16;Mateu NC et al.;15.09.2026;15.09.2026;BMJ Open Diabetes Res Care;2026;Verschiedene Erkennungsraten bei gezieltem Diabetes-Screening in Dänemark;Vergleich von mobilen Screening-Einheiten mit Heim-Selbstmessung zur Früherkennung von Diabetes in der Bevölkerung mittels HbA1c-Tests.;"HbA1c ≥48 mmol/mol (≥6,5%) wurde in 3,1% (mobile Einheit) vs. 3,5% (Heim-Selbstmessung) gefunden; die Heim-Messung war effizienter bei Werten 42–47 mmol/mol (6,0–6,4%), wo 15,2% vs. 9,1% erreicht wurden. Beide Methoden sind komplementär.";Dänemark, vergleichbarer nordeuropäischer Sozialversicherung, hohe Übertragbarkeit auf deutsche Screening-Strukturen;42744583;https://pubmed.ncbi.nlm.nih.gov/42744583/
2026-09-16;Liu Q et al.;15.09.2026;15.09.2026;Diabetes Res Clin Pract;2026;Übergewichtsreduktionsprogramme mit Fertigdiäten: Gute Toleranz, aber Lücken bei Langzeitbegleitung;Scoping Review über 15 Studien (Interviews, Fokusgruppen, Surveys) zu Erfahrungen von Patienten mit Low-Energy-Diät und Very-Low-Energy-Diät zur Remission von Typ-2-Diabetes.;"Fertigprodukte wurden gut vertragen; Hauptmotivatoren für Adhärenz: Möglichkeit der Diabetes-Remission und Gewichtsreduktion; zusätzliche Benefits bei psychischem Wohlbefinden erkannt; Defizite: inkonsistente Schulung, unzureichende psychologische Unterstützung, fehlende kulturelle Anpassung. Verständnis des Verhaltens nach Programm begrenzt.";Australien, übertragbare Erkenntnisse zu Adhärenz-Barrieren für deutsche Remissions-Programme, besonders bezüglich psychologischer Unterstützung;42744078;https://pubmed.ncbi.nlm.nih.gov/42744078/
2026-09-16;Holt RIG et al.;15.09.2026;15.09.2026;Diabetes Care;2026;ADA/EASD-Konsens zu Typ-1-Diabetes-Management für Erwachsene 2026;Überarbeitete gemeinsame Empfehlung von American Diabetes Association und European Association for the Study of Diabetes zur modernen Behandlung der Typ-1-Diabetes im Erwachsenenalter mit Schwerpunkt auf Technologieintegration und Komplikationsprävention.;Besonderer Fokus auf neue Technologien (kontinuierliche Glukosemessung, Insulinpumpen, Closed Loop), Prävention von Spätkomplikationen und psychosoziale Versorgung als essenzielle Komponenten der strukturierten Diabetesschulung und Selbstmanagement-Unterstützung.;Internationale evidenzbasierte Leitlinie, direkt übertragbar auf deutsches DMP und strukturierte Behandlungsprogramme;42742157;https://pubmed.ncbi.nlm.nih.gov/42742157/
2026-09-16;Yang H et al.;14.09.2026;14.09.2026;Diabetes Obes Metab;2026;GLP-1-Rezeptoragonisten senken Insulindosis bei Typ-2-Diabetes um 33 Einheiten täglich;Systematische Übersichtsarbeit und Metaanalyse von sieben randomisierten kontrollierten Studien (1.332 Patienten) zu GLP-1-Rezeptoragonisten mit Reduktion der Basalbolus-Insulinther beim Übergang zum GLP-1RA und Basalinsulin.;"HbA1c-Unterschied nicht signifikant (–0,08 Prozentpunkte; 95% CI –0,28 bis 0,12; p=0,391); Körpergewichtreduktion –4,94 kg (p=0,003); Insulintagesddosis –33,32 Einheiten/Tag (p=0,006); Hypoglykämie-Risiko 24% niedriger (RR 0,76; 95% CI 0,66–0,87; p=0,007).";Globale RCT-Evidenz, gültig für deutsche Versorgung und DMP-relevante Therapieoptimierung;42736042;https://pubmed.ncbi.nlm.nih.gov/42736042/
2026-09-16;Tran TH et al.;14.09.2026;14.09.2026;Diabetes Obes Metab;2026;MASLD bei Typ-2-Diabetes kostet US-Systeme über 11.000 USD pro Patient pro Jahr;Retrospektive Kohortenstudie mit US-Krankenkassendate zur Gesundheitsökonomie von diagnostizierter metabolischer Dysfunktion-assoziierter Steatosis hepatis bei 155.172 Patienten mit Typ-2-Diabetes.;"Gesamtkosten mit MASLD 29.734 USD vs. 18.320 USD ohne MASLD; MASLD assoziiert mit 62% höheren Gesamtkosten (adjustierte Kostenquote 1,62; 95% CI 1,58–1,67), entsprechend 11.411 USD mehr pro Patient pro Jahr; erhöhte Inanspruchnahme aller Versorgungsbereiche.";USA-Gesundheitssystem mit anderer Kostenstruktur, kostentechnische Befunde partiell übertragbar auf deutsche Kostenträger;42736030;https://pubmed.ncbi.nlm.nih.gov/42736030/
2026-09-16;Arzuaga A et al.;10.08.2026;10.08.2026;Prim Care Diabetes;2026;Große Versorgungslücken bei Typ-2-Diabetes-Behandlung in spanischen Zentren;Qualitätsindikatoren für Diabetes-Management in drei spanischen Regionen anhand von 30.111 Patienten mit elektronischen Patientenakten evaluiert.;"Nur 20,4% erhielten regelmäßige HbA1c-Kontrollen alle 6 Monate; 3,9% der Patienten außerhalb des Zielbereichs bekamen vierteljährliche Kontrollen; 60% mit kardiovaskulären oder Nierenerkrankungen erhielten SGLT2i/GLP-1RA, aber nur 15% Kombinationstherapie; Insulininitiierung verzögert sich um median 7,7 Jahre. Benchmarking haltet Mängel auf.";Südeuropa mit ähnlichen Versicherungsstrukturen, repräsentativ für fragmentierte Versorgung südeuropäischer und deutscher Regionen;42575755;https://pubmed.ncbi.nlm.nih.gov/42575755/
2026-09-15;Hennessy C et al.;14.09.2026;14.09.2026;Diabetes Care;2026;Unteramputation bei Diabetes: 23,5 % Mortalität nach 1 Jahr, keine Verbesserung seit 2012;Eine 25-Jahr-Bevölkerungsstudie aus England beschrieb Mortalität und Morbidität nach Unterschenkelamputation bei 25.176 Diabetespatienten mittels verknüpfter Krankenhausdaten.;"Mortalität betrug 23,5 % im 1. Jahr, 60,0 % im 5. Jahr und 82,3 % im 10. Jahr – ohne Verbesserung seit 2012. Unabhängig assoziiert mit erhöhter Mortalität: weibliches Geschlecht (HR 1,06), höheres Alter (HR 1,62), höherer Charlson-Index (HR 1,04 pro Punkt). 90-Tage-Komplikationen: Reoperation (6,24 %), Myokardinfarkt (3,74 %), Readmission (20,25 %); kumulative Kontralateral-Amputation bei 5 Jahren: 6,43 %.";England, nationale Krankenhausdaten vergleichbar mit deutschem KV-System.;42734988;https://pubmed.ncbi.nlm.nih.gov/42734988/
2026-09-15;de Beaufort C et al.;14.09.2026;14.09.2026;Diabetologia;2026;Transition Typ-1-Diabetes: Konsenspapier mit 31 Statements für strukturierte Betreuung;Ein internationales Konsenspapier (ISPAD, EASD, ADA) entwickelte evidenzbasierte Empfehlungen zur Betreuung von Jugendlichen und jungen Erwachsenen beim Wechsel von pädiatrischer zu Erwachsenendiabeologie.;"31 Konsens-Statements zum vollen Transitionsprozess (Prä-Transfer, Transfer, Post-Transfer) wurden durch systematische Review + Delphi-Befragung von Fachleuten und Patienten validiert. Evidenz Grade A/B wurde automatisch eingebunden; Grad C/E erfolgte Delphi-Validierung. Der Report enthält keine Zahlen zu Outcomes, sondern Struktur- und Prozessempfehlungen mit dem Ziel, Leitlinien in lokale Praxis zu übersetzen.";Internationales Konsenspaper – Niederlande, Skandinavien, deutschsprachige Länder vertreten.;42734653;https://pubmed.ncbi.nlm.nih.gov/42734653/
2026-09-15;Liu Y et al.;13.09.2026;14.09.2026;Diabetes Obes Metab;2026;Beta-Zellfunction bei Prediabetes: ISSI-2 vorhersagekräftiger als HOMA-IR;Eine chinesische Prospektivstudie prüfte bei 645 Prediabetespatienten, ob die Insulinsekretion-Sensitivitäts-Index-2 (ISSI-2) aus OGTT-Daten Diabetes-Progression oder -Reversion besser vorhersagt als HOMA-IR.;Nach 24 Monaten: 136 zur Diabetes progrediert, 61 zu Normoglykämie revertiert (n=410 mit Follow-up). ISSI-2: Jede 1-SD-Steigerung war mit niedrigerem Progressionsrisiko (OR 0,505) und höherem Reversionsrisiko (OR 1,447, beide p<0,001) assoziiert. HOMA-IR weniger konsistent. Dual-Defekt-Gruppe (höher HOMA-IR + niedrig ISSI-2) hatte höchstes Progressionsrisiko (OR 2,764). ISSI-2 erfasst Basalglykämie stärker als HOMA-IR.;China, große Multicenterstichprobe, Konzept auf deutsche Screening-praxis übertragbar.;42733155;https://pubmed.ncbi.nlm.nih.gov/42733155/
2026-09-15;Anastasiou G et al.;13.08.2026;13.08.2026;Diabetes Res Clin Pract;2026;Polyneuropathie in Prediabetes: 9,8 % Inzidenz in 24 Monaten;Eine griechische Prospektivstudie untersuchte bei 160 Patienten mit Prediabetes die Inzidenz distaler symmetrischer Polyneuropathie (DSPN) über 24 Monate und identifizierte unabhängige Risikofaktoren.;Bei 133 DSPN-freien Teilnehmern am Baseline entwickelten 13 (9,8 %) eine DSPN. Unabhängige Prädiktoren waren Alter (OR 1,11 pro Jahr), männliches Geschlecht (OR 1,07), Rauchen (OR 1,17), Taillenumfang (OR 1,04 pro cm), HOMA-IR (OR 1,83) und deren Veränderung (OR 1,46). Die Ergebnisse zeigen, dass Nervenschäden bereits im prädiabeischen Stadium auftreten.;Griechenland, vergleichbares europäisches Versichertensystem.;42595053;https://pubmed.ncbi.nlm.nih.gov/42595053/
2026-09-15;Du Y et al.;11.08.2026;12.08.2026;Diabetes Obes Metab;2026;Diabetesversorgung bei Älteren in Deutschland: Mangel bei modernen Medikamenten;Eine deutsche Querschnittsstudie (Gesundheit65+) bewertete Versorgungsqualität bei 292 älteren Diabetespatienten (≥66 Jahre) anhand von Leitlinien-Indikatoren und verglich mit früheren Erhebungen.;"90,6 % Nichtraucher, 69,6 % Normalgewicht, 74,2 % Blutdruckkontrolle, 45,5 % sportlich aktiv. Bei Medikation: 73,6 % Antidiabetika (24,3 % Metformin mono, 16,9 % Insulin), 65,7 % Statine, 88,4 % ACE-I/ARB (bei Hypertonie). Moderne Substanzen nur 36,8 % GLP-1-RA/SGLT2i bei kardiovaskulärer Erkrankung; Aspirin 55,4 %. Trend-Analyse (66–79 J.): Insulinrückgang, Verbesserung bei Bewegung, Normalgewicht, Blutdruck und Leitlinien-Medikation.";Deutschland, Robert-Koch-Institut, nationale Untersuchungsdaten.;42581634;https://pubmed.ncbi.nlm.nih.gov/42581634/
2026-09-15;Wang Y et al.;10.08.2026;10.08.2026;Nat Med;2026;Typ-2-Diabetes-Prävention: Lebenslauf-Rahmen mit 10 Prioritäten statt Symptom-fokussiert;Ein internationales Konsenspapier (22 Experten, darunter deutsche Zentren) entwickelt einen Life-Course-Präventionsrahmen für Typ-2-Diabetes mit Fokus auf Prediabetes-Remission statt nur Progression-Verzögerung.;"Der Bericht beschreibt einen integrierten Life-Course-Risikobau mit kritischen Fenster metabolischer Anfälligkeit und enthält 10 Prioritäten für präventive Intervention. Kernthese: Normoglykämie-Wiederherstellung ist das Ziel, Prediabetes-Remission ein messbarer, erreichbarer Endpunkt; präzise Prävention muss Mechanismen-Heterogenität berücksichtigen und bleibt skalierbar/adaptierbar. Keine Outcome-Zahlen, aber konzeptionelle Rahmengebung für neue Strategien.";Tübingen (Helmholtz, Universitätsklinik), Düsseldorf (DDZ) führend – deutsches Gesundheitssystem eingebunden.;42575984;https://pubmed.ncbi.nlm.nih.gov/42575984/
2026-09-14;Zhou Y et al.;13.09.2026;13.09.2026;Diabetes Res Clin Pract;2026;Operationalisierung von Typ-2-Diabetes ändert Phänotyp und Outcome-Assoziation;UK-Biobank-Studie mit 501.936 Teilnehmern: Vergleich von fünf alternativen Definitions-Familien für Typ-2-Diabetes und deren Effekt auf Fallzusammensetzung und Mortalitäts-/Morbilitäts-Assoziationen.;"Fallzahlen variierten je Definition (13.873-22.394); Hazard Ratios für MI 3,82 (3,61-4,04) und Demenz 3,79 (3,52-4,09) bei eng definierten Fällen; Einschluss von nicht diagnostiziertem Diabetes reduzierte HRs um 1,2-13,8 %, besonders für Demenz.";UK-System, ähnlich deutsche Routinedokumentation in KVs/Kliniken;42732789;https://pubmed.ncbi.nlm.nih.gov/42732789/
2026-09-14;Li Z et al.;01.09.2026;20.08.2026;Diabetes Care;2026;Metabolische Faktoren und pulmonale Veränderungen bei Diabetes;Stellungnahme zu Faktoren, die die Verbindung zwischen Diabetes und Lungenfunktionsstörungen modulieren.;"Post-hoc-Analyse zeigt metabolische Marker als unabhängige Prädiktoren pulmonaler Alteration; spezifische Hazard Ratios im Originalmanuskript nicht im Abstract.";Deutschland-Vergleichbarkeit abhängig von Datenquelle, siehe Originalarbeit;42623539;https://pubmed.ncbi.nlm.nih.gov/42623539/
2026-09-14;Blankenstein O et al.;19.08.2026;19.08.2026;Exp Clin Endocrinol Diabetes;2026;DDG-Positionspapier zum Typ-1-Diabetes-Screening;Stellungnahme der Deutschen Diabetes-Gesellschaft zu Empfehlungen, wer auf Typ-1-Diabetes gescreent werden sollte und wie.;"Empfehlungen basieren auf Expertenkonsens; keine quantitativen Ergebnisse, aber richtungsweisend für die DDG-Standard.";Direkter Fokus auf deutsches Versorgungssystem, DDG-Mitglieder;42618003;https://pubmed.ncbi.nlm.nih.gov/42618003/
2026-09-14;Nauck MA et al.;17.08.2026;17.08.2026;Lancet Diabetes Endocrinol;2026;Semaglutid in Typ-1-Diabetes: Klinisches Stellungnahme-Duo;Kommentar von Diabetologen zu Sicherheit und Verträglichkeit von Orforglipron, einem GLP-1-Rezeptoragonisten, bei japanischen Patienten mit Typ-2-Diabetes (aus klinischer Studie).;"Keine Outcome-Zahlen im Abstract; redaktionelle Würdigung, keine primären Daten.";Nicht als Originalarbeit, sondern als Fachmeinung;42607699;https://pubmed.ncbi.nlm.nih.gov/42607699/
2026-09-14;Singhartinger F et al.;17.08.2026;17.08.2026;J Clin Endocrinol Metab;2026;Helicobacter pylori und Insulinresistenz: Assoziation oder Confounder?;Österreichische Cross-sectional-Studie mit 4.681 asymptomatischen Erwachsenen: Helicobacter-pylori-Status per Magenbiopsi vs. Insulinresistenz (HOMA-IR > 2,5), mit rigoroser Confounder-Anpassung und Bayesian-Analyse.;"Rohprävalenz der Insulinresistenz höher bei H. pylori+ (31 % vs. 27 %; p=0,015); nach vollständiger Anpassung verschwand die Assoziation (IRR 1,12, 95% KI 0,95-1,31; p=0,176); Bayesian-Analyse: 87,9 % Wahrscheinlichkeit praktischer Äquivalenz – H. pylori ist ein Marker sozioökonomischer Faktoren, nicht kausal.";Österreich, mitteleuropäisches Versorgungssystem, vergleichbar mit Deutschland;42605187;https://pubmed.ncbi.nlm.nih.gov/42605187/
2026-09-14;Di Paola R et al.;14.08.2026;14.08.2026;Diabetes Res Clin Pract;2026;Genetische Heterogenität: Monogenes Diabetes in Italien deutet auf Land-spezifische Phänotypen;Kohortenstudie mit 521 italienischen Patienten mit Verdacht auf monogenes Diabetes: Vergleich der Prävalenz und Charakterisierung pathogener Varianten mit anderen europäischen Ländern.;"Pathogene/wahrscheinlich pathogene Varianten in 127/521 (24,4 %); GCK-Diabetes war mit 54 % der Fall am häufigsten (Unterschied zu UK/Frankreich, wo HNF-Varianten dominieren); MODY-Prädiktor-Kalkulator zeigte schlechtere Diskrimination als im UK entwickelt.";Italienische Patientendaten, europäisch vergleichbar, benötigt aber länderspezifische Algorithmen;42600891;https://pubmed.ncbi.nlm.nih.gov/42600891/
